Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
PEUGEOT 408,1.6 L Allure EAT8,140 900 DT,Oui,Disponible,Berline,3 ans,5,4,4,Essence,13 CV,215 CH,300 nm 2000 tr/min,1598 CM³,Automatique,8,Traction,4687 mm,1848 mm,1480 mm,536 L,,8.9 s,220 KM/H,7 L/100 km,Frontaux | Latéraux | Rideaux,ESP | ASR,AFU,,Hill assist,Radar de recul | Caméra de recul,,HDC,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED | Signature LED,6 haut-parleurs | Commandes au volant,4 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Mirrorlink,Tactile | 10 pouces,Avant,,Mi-TEP,Réglage lombaire,Conducteur et passager,,Multi-fonctions | Croûte de cuir | Avec palettes,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone,À distance,,Normal | Confort | Sport,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés | Éclairage d'accueil à LED,i-cockpit | Dalle Numérique Haute Définition,Avant/Arrière,https://www.automobile.tn/fr/neuf/peugeot/408/1.6-l-allure-bva#specs,9.2 L/100 km,5.7 L/100 km,,,,,,Électrique,,,,,,,,,,,Lunette et vitres arrières sur-teintées,,,,,,,,,Poches aumônières,,,,,,,,,,,,,Aluminium,,,,148.900 DT,,,,LED,,,,,,,,,,,,,,,,,,,,,,
"TOYOTA HIACE 16 PLACES
2.5 L DIESEL",Version unique,142 000 DT,Non,Disponible,Utilitaire,1 an ou 50000 km,16,5 | 2 portes latérales coulissantes,4,Diesel,10 CV,102 CH,260 nm 1600 tr/min,2494 CM³,Manuelle,5,Propulsion,5380 mm,1880 mm,2285 mm,,,24.1 s,145 KM/H,9.3 L/100 km,Frontal conducteur,,,,,,,,,15'',,,USB | AUX,,,,Tissu,,,,,,1 prise 12 V,,Manuelle | Ventilation arrière,,,,,,,https://www.automobile.tn/fr/neuf/toyota/hiace/2.5-l-diesel-16-places,8 L/100 km,11.6 L/100 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastique antidérapant,,,,,,,,,,,,,,
WALLYSCAR ANNIBAL XXL,2.3 l Turbo Diesel 4x4 BVA,142 200 DT,Non,Sur arrivage,Pick up,3 ans ou 100.000 km,5,4,4,Diesel,8 CV,160 CH,380 nm 2OOO tr/min,2299 CM³,Automatique,8,Intégrale,5393 mm,2045 mm,1965 mm,,,11.6 s,180 KM/H,7.8 L/100 km,Frontaux | Latéraux,ESC | ESP,EBD,,,Radar de recul | Radar latéral | Système de caméras 360,,,Feux de jour | Avant,En aluminium | 18'',,6 haut-parleurs | Commandes au volant,USB | Apple Carplay | Bluetooth | Wifi | Chargeur de téléphone sans fil,Tactile | 10.2 pouces,Avant | Arrière,2,Similicuir | Cuir +3000 DT,Électriques,Conducteur,,Cuir | Multi-fonctions,En hauteur,1 prise 12 V,,Manuelle,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Chromés | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/wallyscar/annibal-xxl/2.3-l-turbo-4x4-bva#specs,8.8 L/100 km,7 L/100 km,,FCW,Avant,,,Électrique,Cruise control,,Pare-chocs,Métallisée,Chromées,,Démarrage mains libres,Accès mains libres,,,Teintées,,,,,,,,,Porte-lunettes,LED,,,212 g/km,,,,,,,,,,850 KG,,,,,,,,,,,,,,,,,1.5 m³,+1000 DT,+1000 DT,+1000 DT,,,,,,,,,
"HONDA ZR-V
1.5 L CVT",Version unique,145 000 DT,Non,Disponible,SUV,3 ans ou 100.000 km,5,5,4,Essence,11 CV,182 CH,240 nm 1700 tr/min,1498 CM³,Automatique,,Traction,4569 mm,1840 mm,1612 mm,370 L,1300 L,11 s,200 KM/H,7 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,VSA,EBA | EBD | ESS | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | EBB,TPMS,Autohold | HSA,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,12 haut-parleurs | Haut-parleurs Bose | Commandes au volant | Subwoofer,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | 3 USB-C,Tactile | 9 pouces,Avant | Arrière,3,Cuir perforé,Électriques | 12 directions | Réglage lombaire | Fonction mémoire,Conducteur,,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.2 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/zr-v/1.5-l-cvt,8.9 L/100 km,5.9 L/100 km,,,,LKA,,EPS | Électrique,Adaptatif (ACC) | Cruise control,,,,,Cuir,Démarrage mains libres,Accès mains libres,Noire,Chromée,,,,,,,,,,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,HBSS,,,,,,,,,,,,,,,,,,,,,,,,,Lane Watch,,,,,,,,
"HONDA CIVIC
1.5 L CVT",Version unique,145 990 DT,Non,Disponible,Berline,3 ans ou 100.000 km,5,4,4,Essence,10 CV,178 CH,220 nm 4500 tr/min,1498 CM³,Automatique,,Traction,4679 mm,1802 mm,1432 mm,419 L,,8.3 s,200 KM/H,6.2 L/100 km,Frontaux | Latéraux | Rideaux,VSA,EBA | EBD | ESS,,Autohold | HSA,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 9 pouces,Avant | Arrière,3,Cuir,,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Dégivrants | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/civic/1.5-l-cvt,8.1 L/100 km,5.1 L/100 km,,,,,,EPS | Électrique,,,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Noire,,,,,,,,,,,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPRA LEON,1.4 TSI,146 980 DT,Oui,En pré-commande,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1400 tr/min,1395 CM³,Automatique,8,Traction,4398 mm,1799 mm,1444 mm,380 L,,8.2 s,215 KM/H,5 L/100 km,Frontaux | Latéraux | Genoux | Protège-tête,ESC,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',Adaptatifs | Matrix LED,6 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Mirrorlink,Tactile | 12.9 pouces,Avant,3,Tissu,Conducteur à réglage électrique | Chauffants | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport | Avec palettes,En hauteur et en profondeur,,,Automatique | 3 zones,À distance,Éléctrique,Confort | Individual | Cupra | Performance,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/cupra/leon/1.4-tsi-2025#specs,5.9 L/100 km,4.5 L/100 km,,,,,,Dynamique,,,,,,Cuir,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées | Athermiques,,,,,,,,,Poches aumônières,,,Anti-éblouissement,118 g/km,,,,,,,,Eclairés | Baguettes dans les baies de porte,,,,,149.980 DT,,,,,,XDS,,,,,,,,,,,,,,,,,,,,
"TOYOTA LAND CRUISER 79
4.2 L DIESEL 4X4 SIMPLE CABINE",Version unique,149 800 DT,Non,Sur arrivage,Pick up,3 ans ou 100.000 km,2,2,6,Diesel,11 CV,130 CH,285 nm 2200 tr/min,4164 CM³,Manuelle,5,Intégrale,5095 mm,1770 mm,1970 mm,,,N.C,140 KM/H,12.2 L/100 km,Frontaux,,,,,,,,,En aluminium | 16'',,2 haut-parleurs,USB,,,,Tissu,,,,,En hauteur et en profondeur,,,Manuelle,,,,,,,https://www.automobile.tn/fr/neuf/toyota/land-cruiser-79/4.2-l-diesel-4x4-simple-cabine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUDI Q2
35 TFSI URBAN LINE BVA",Version unique,149 990 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1498 CM³,Automatique,8,Traction,4191 mm,1794 mm,1508 mm,405 L,,8.6 s,218 KM/H,6.0 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant,En aluminium | 17'',LED,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),2 USB-C | Android Auto | Apple Carplay | Bluetooth,8.8 pouces,Avant,,Tissu,,Conducteur et passager,Ouvrant | Panoramique,Cuir | 3 branches | Multi-fonctions | à méplat,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles,Audi Virtual Cockpit | 12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/audi/q2/35-tfsi-bva-urban-line,6.9 L/100 km,5.8 L/100 km,Anti-soulèvement,,,,,Progressive,,,,,,,Démarrage mains libres,Accès mains libres,Contour chromé,Format graphique lumineux | Style aluminium,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,,,,,,,Triangle de présignalisation,,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,Aluminium | Eclairés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CITROËN JUMPY COMBI
2.0 L HDI 9 PLACES",Version unique,152 900 DT,Non,10 jours,Monospace,3 ans,9,4 | 1 porte latérale coulissante,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4960 mm,1920 mm,1890 mm,,,9.9 s,170 KM/H,5.5 L/100 km,Frontaux,ESP | ASR,AFU,,,Radar de recul,,,,16'',,4 haut-parleurs | Commandes au volant | Radio numérique DAB,USB | Bluetooth,Tactile | 5 pouces,Avant conducteur,,Tissu | Bi-ton,,,,Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Automatique | Bizone,À distance,,,Électriques | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/citroen/jumpy-combi/2.0-l-hdi-9-places,6 L/100 km,5.2 L/100 km,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEUGEOT EXPERT COMBI
2.0 L HDI 9 PLACES",Version unique,152 900 DT,Non,10 jours,Monospace,3 ans,9,4 | 1 porte latérale coulissante,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4956 mm,1920 mm,1890 mm,N.C,,10.3 s,185 KM/H,5.4 L/100 km,Frontaux,ESP | ASR,AFU,,,,,,,16'',,4 haut-parleurs | Commandes au volant | Radio numérique DAB,USB | Bluetooth,Tactile | 5 pouces,,,Tissu | Bi-ton,,,,Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Automatique | Bizone,,,,Électriques | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/peugeot/expert-combi/2.0-l-hdi-9-places,6.1 L/100 km,5 L/100 km,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,142 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NISSAN QASHQAI E-POWER
1.5 L N-CONNECTA",Version unique,152 900 DT,Non,Disponible,SUV,2 ans,5,5,3,Essence | Hybride,8 CV,190 CH,330 nm 0 tr/min,1497 CM³,Automatique,1,Traction,4425 mm,1835 mm,1625 mm,504 L,,7.9 s,170 KM/H,5.2 L/100 km,Frontaux | Latéraux | Rideaux,ESP,EBD | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | NBAS | VDC,,Autohold | HSA,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED | Adaptatifs,6 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | AUX | Bluetooth | Chargeur de téléphone sans fil,Tactile | 12 pouces,Avant | Arrière,,Tissu,Réglage lombaire,Conducteur et passager,Panoramique,Cuir | Avec palettes,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres | Cache Bagages,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/nissan/qashqai-e-power/1.5-l-n-connecta,,,,,,,,,,,Poignées de portes,Métallisée,,,Démarrage mains libres,Accès mains libres,Chromée,,Teintées | Lunette et vitres arrières sur-teintées,158 CH,,,,,1058 km,,Chrome,,LED,Ecran TFT 7'',Anti-éblouissement,120 g/km,,,,,,,,,,,,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,
KIA SPORTAGE,1.6 l T-GDI 7-DCT EX,140 980 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence,10 CV,180 CH,265 nm 1500 tr/min,1598 CM³,Automatique,7,Traction,4515 mm,1865 mm,1650 mm,591 L,,8.8 s,201 KM/H,6.3 L/100 km,Frontaux | Latéraux | Rideaux,ESC,FCA,,HAC,Radar de recul | Radar avant | Caméra de recul,,DBC,Feux de jour | Avant,En aluminium | 17'',Full LED | Adaptatifs,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8 pouces,Avant | Arrière,,Cuir/Tissu,Conducteur à réglage électrique | Chauffants,Conducteur et passager,Ouvrant | Panoramique,Cuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/sportage/1.6-l-t-gdi-7-dct-ex#specs,7.6 L/100 km,5.6 L/100 km,,,,LKA | LFA,,,,,,,,,Démarrage mains libres,Accès mains libres,,,Teintées | Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,TSA,,,,,,,,,,,,,,,,,,,
VOLKSWAGEN TIGUAN,1.4 L TSI Life,154 980 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,8 CV,150 CH,250 nm 1500 tr/min,1395 CM³,Automatique,7,Traction,4539 mm,1842 mm,1658 mm,652 L,1650 L,9.2 s,200 KM/H,6.7 L/100 km,Frontaux | Latéraux | Rideaux | Centraux,ESP | ASR,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Directionnels | LED,Composition Media | 8 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 12.9 pouces,Avant | Arrière,3,Tissu,Réglage lombaire | Confort,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,2 prises 12 V,Ouverture et fermeture motorisées | Ouverture à distance,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,,Électriques | Dégivrants | Éclairage d'accueil à LED,Digital Cockpit Pro,Avant/Arrière,https://www.automobile.tn/fr/neuf/volkswagen/tiguan/1.4-l-tsi-life-2024#specs,8.6 L/100 km,5.6 L/100 km,,,,,,,,,,,,Cuir,Démarrage mains libres,Accès mains libres,,,Parebrise athermique,,,,,,,,Noir Mat,,,,,,,,,,,,,,Noires,,,,,,,,10 couleurs,,,,,,,,,,,,,,,,,,,,,,
BMW SÉRIE 1,118 Business Line,155 900 DT,Non,Disponible,Compacte,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,240 nm 1500 tr/min,1499 CM³,Automatique,7,Traction,4361 mm,1800 mm,1459 mm,300 L,,8.4 s,226 KM/H,6.4 L/100 km,Frontaux | Latéraux | Rideaux,DSC,DBC,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Autoreverse,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED | Adaptatifs,6 haut-parleurs | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces,Avant,3,Tissu | Arktur anthrazit,Électriques | Fonction mémoire,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,10.25 pouces | BMW Live Plus,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/serie-1-5p/118i-business-line#specs,8.2 L/100 km,5.3 L/100 km,,FCW,,,,,Avec fonction freinage,,,Métallisée +3000 DT,,,Démarrage mains libres,Accès mains libres,Aluminium satiné,Inserts décoratifs Aluminium Graphite illuminés,Calorifuges,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Alu satiné,,,,Anti-éblouissement,,,,,LDW,,,,,,,,,,,,,,,,,,,,,Velours,,,,,,,,,,,,,,
"BYD SONG PLUS
1.5 L DM-I",Version unique,156 990 DT,Non,Disponible,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans ou 200.000 km,5,5,4,Essence | Hybride rechargeable,7 CV,265 CH,220 nm 1600 tr/min,1497 CM³,Automatique,,Traction,4775 mm,1890 mm,1670 mm,552 L,,8.3 s,180 KM/H,5.1 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,EBD | HBA | VDC,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 19'',LED,9 haut-parleurs | Commandes au volant,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | 1 fente pour carte SD | Chargeur de téléphone sans fil,Tactile | 12.8 pouces | Rotatif,Avant | Arrière,3,Similicuir,Conducteur à réglage électrique | 6 directions | Avec Appuie-tête intégrés,Conducteur,Ouvrant | Panoramique,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V | Chargeur inversé (V2L),Ouverture et fermeture motorisées,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Éclairage d'accueil à LED,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/byd/song-plus/1.5-l-dm-i,,,,,,,,,Cruise control,,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Chromée,,,130 CH,204 CH,18.3 kWh,300 nm,90 km,970 km,Triangle de présignalisation | Extincteur,Chrome,Poches aumônières | Porte-lunettes,,,,,,,,,,,,,Aluminium,,,,,,,,LED,,,,,,GPS,,,,,,,,,,,,,,,,
SSANGYONG MUSSO,2.2 l Diesel 4WD CRM,139 800 DT,Non,Disponible,Pick up,3 ans,5,4,4,Diesel,7 CV,181 CH,400 nm 1400 tr/min,2157 CM³,Manuelle,6,Intégrale,5095 mm,1950 mm,1840 mm,,,N.C,185 KM/H,8.6 L/100 km,Frontaux,ESP,EBD | ESS,TPMS,HSA,Radar de recul | Radar avant | Caméra de recul,ARP,HDC,,En aluminium | 17'',Bi-xénon,6 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 12 pouces,Avant | Arrière,,Tissu,,Conducteur,,Cuir,En hauteur,1 prise 12 V,,Automatique | Bizone,À distance,,Eco | Power | Winter,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/ssangyong/musso/2.2-l-diesel-4wd-crm#specs,10.9 L/100 km,7.2 L/100 km,,,,,,,Cruise control,,Poignées de portes | Rétroviseurs,,,Cuir,Démarrage mains libres,Accès mains libres,,,,,,,,,,,,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,,,790 KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ CLASSE A,200 Progressive,159 000 DT,Non,Disponible,Compacte,2 ans,5,5,4,Essence,9 CV,163 CH,270 nm 1620 tr/min,1332 CM³,Automatique,7,Traction,4419 mm,1907 mm,1423 mm,370 L,,8.2 s,225 KM/H,6 L/100 km,Frontaux | Rideaux | Bassin,ESP | ASR,BAS,,,Radar de recul | Radar avant | Caméra de recul | Parktronic,,,Feux de jour | Avant | Arrières,En aluminium | 17'',LED Hautes performances,MBUX | Commandes au volant,USB-C | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,Similicuir/Tissu,Confort,Conducteur et passager,,Cuir | Multi-fonctions | 4 branches | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,Confort | Sport | Eco | Individual,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,7 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/classe-a/200-progressive-sept-23#specs,,,,,,,,,TEMPOMAT,,,+2000 DT | Blanche,,,Démarrage mains libres,,Chromée,Carbone foncé,Teintées,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Chrome,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,Aluminium,,,,,,,,,,,,,,Progressive Line,,,Velours,Attention Assist,,,,,,Confort,,,,,,,
FIAT SCUDO COMBI,2.0 L HDI 9 places,159 000 DT,Non,3 mois | Sur arrivage,Monospace,3 ans,9,5 | 1 porte latérale coulissante,4,Diesel,8 CV,150 CH,370 nm 2000 tr/min,1997 CM³,Manuelle,6,Traction,4956 mm,1920 mm,1890 mm,N.C,,10.3 s,185 KM/H,5.4 L/100 km,Frontaux | Latéraux | Rideaux,ESC,,,Hill assist,Radar de recul,,,,17'',,Commandes au volant | Radio numérique DAB,USB | Bluetooth,,Avant conducteur,,Tissu,Réglage lombaire,,,Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Manuelle,À distance,,,Électriques | Rabattables | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/fiat/scudo-combi/2.0-l-hdi-9-places#specs,6.1 L/100 km,5 L/100 km,,,,,,,,,Pare-chocs,,,,,,,,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,,142 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYUNDAI STARIA 11 PLACES
2.2 CRDI",Version unique,159 600 DT,Non,Disponible,Monospace,5 ans ou 100000 km,11,5,4,Diesel,8 CV,177 CH,430 nm 1500 tr/min,2199 CM³,Manuelle,6,Traction,5253 mm,1997 mm,1990 mm,,,12.4 s,185 KM/H,8.7 L/100 km,Frontaux | Latéraux,,,,,Radar de recul,,,,,,,2 USB | Bluetooth,,,,Tissu,,,,Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,,Manuelle,À distance,,Normal | Sport | Eco,Électriques | Rabattables,,Avant,https://www.automobile.tn/fr/neuf/hyundai/staria/2.2-crdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
